CustomerID,CustomerName,CustomerType,RegionID,SalesRepID,City,State,ZipCode,JoinDate,CreditLimit,Status
CU000001,Metro Homes,Builder,R01,SR0101,NY City,NY,81176,2020-03-17,100000,Active
CU000002,Prime Materials,Distributor,R03,SR0108,IL Heights,IL,62431,2020-10-20,100000,Active
CU000003,Metro Development,Builder,R02,SR0157,SC Heights,SC,65640,2023-02-13,100000,Active
CU000004,Evergreen Development,Distributor,R03,SR0028,MI City,MI,88986,2020-12-10,100000,Active
CU000005,Summit Development,Retailer,R04,SR0114,TX Heights,TX,17518,2022-10-03,500000,Active
CU000006,Pioneer Construction,Distributor,R02,SR0192,FL City,FL,40932,2023-05-13,1000000,Active
CU000007,Urban Group,Retailer,R01,SR0141,CT City,CT,85225,2024-04-14,100000,Active
CU000008,Dream Group,Distributor,R03,SR0008,OH City,OH,83619,2019-05-29,1000000,Active
CU000009,Prime Contracting,Contractor,R05,SR0160,OR Heights,OR,69250,2024-08-25,50000,Active
CU000010,Metro Development,Builder,R03,SR0023,MI Heights,MI,30644,2021-01-20,500000,Active
CU000011,Skyline Group,Builder,R05,SR0065,WA City,WA,82616,2023-11-12,50000,Active
CU000012,Cornerstone Group,Retailer,R01,SR0126,NJ Metro,NJ,63665,2024-03-16,1000000,Active
CU000013,Dream LLC,Contractor,R01,SR0166,MA Metro,MA,33850,2018-05-24,100000,Active
CU000014,Urban Supply,Retailer,R05,SR0055,WA Metro,WA,78012,2019-03-16,50000,Active
CU000015,Metro Builders,Builder,R05,SR0100,OR City,OR,32103,2024-05-22,500000,Active
CU000016,Build Builders,Builder,R05,SR0185,UT Metro,UT,94076,2023-06-02,25000,Active
CU000017,Evergreen LLC,Distributor,R04,SR0009,NV Heights,NV,49596,2020-05-03,250000,Active
CU000018,Pioneer Homes,Retailer,R04,SR0019,TX Heights,TX,36741,2025-03-27,50000,Active
CU000019,Metro Builders,Builder,R03,SR0118,IN City,IN,71141,2018-02-01,500000,Active
CU000020,Skyline Contracting,Builder,R01,SR0196,PA Metro,PA,85718,2022-08-03,250000,Active
CU000021,Build Builders,Retailer,R05,SR0100,CO Metro,CO,76249,2017-07-19,250000,Active
CU000022,Evergreen Group,Retailer,R01,SR0191,PA Metro,PA,11071,2025-02-27,1000000,Active
CU000023,Build Inc,Distributor,R03,SR0013,IN Metro,IN,57516,2023-03-03,250000,Active
CU000024,Dream Builders,Builder,R03,SR0198,WI Heights,WI,54444,2019-03-27,25000,Active
