PriceHistoryID,ProductID,EffectiveDate,StandardCost,ListPrice,ChangeReason
PH000000001,P00001,2023-01-01,32.99,39.72,Cost Increase
PH000000002,P00002,2023-01-19,46.51,74.51,Cost Increase
PH000000003,P00003,2023-01-13,7.07,9.1,Annual Review
PH000000004,P00004,2023-01-07,29.92,39.54,Annual Review
PH000000005,P00005,2023-01-01,27.48,49.11,Cost Increase
PH000000006,P00006,2023-01-09,49.97,68.98,Cost Increase
PH000000007,P00007,2023-01-10,28.04,34.55,Market Adjustment
PH000000008,P00008,2023-01-07,37.42,58.45,Market Adjustment
PH000000009,P00009,2023-01-07,34.66,49.25,Market Adjustment
PH000000010,P00010,2023-01-20,50.14,64.2,Cost Increase
PH000000011,P00011,2023-01-16,23.71,40.18,Market Adjustment
PH000000012,P00012,2023-01-08,64.66,117.66,Market Adjustment
PH000000013,P00013,2023-01-19,19.89,27.46,Cost Increase
PH000000014,P00014,2023-01-04,39.06,56.0,Annual Review
PH000000015,P00015,2023-01-06,36.48,48.26,Cost Increase
PH000000016,P00016,2023-01-08,119.74,143.65,Market Adjustment
PH000000017,P00017,2023-01-15,19.35,24.04,Promotion End
PH000000018,P00018,2023-01-01,42.59,54.33,Market Adjustment
PH000000019,P00019,2023-01-16,25.06,40.36,Market Adjustment
PH000000020,P00020,2023-01-17,15.38,26.8,Market Adjustment
PH000000021,P00021,2023-01-13,45.79,66.42,Cost Increase
PH000000022,P00022,2023-01-12,16.85,26.36,Cost Increase
PH000000023,P00023,2023-01-01,29.54,39.99,Annual Review
PH000000024,P00024,2023-01-17,48.96,67.41,Cost Increase
PH000000025,P00025,2023-01-12,42.8,66.77,Annual Review
PH000000026,P00026,2023-01-21,33.81,44.91,Promotion End
PH000000027,P00027,2023-01-21,9.68,13.93,Promotion End
PH000000028,P00028,2023-01-05,20.01,26.46,Promotion End
PH000000029,P00029,2023-01-10,22.96,37.09,Market Adjustment
PH000000030,P00030,2023-01-09,14.7,24.35,Promotion End
PH000000031,P00031,2023-01-08,8.51,10.51,Annual Review
PH000000032,P00032,2023-01-04,30.88,40.88,Annual Review
PH000000033,P00033,2023-01-15,43.9,58.09,Annual Review
PH000000034,P00034,2023-01-12,21.37,26.04,Cost Increase
PH000000035,P00035,2023-01-08,50.23,69.6,Promotion End
PH000000036,P00036,2023-01-18,11.05,15.89,Cost Increase
PH000000037,P00037,2023-01-21,14.41,18.2,Promotion End
PH000000038,P00038,2023-01-09,29.58,44.09,Cost Increase
PH000000039,P00039,2023-01-12,19.9,34.33,Cost Increase
PH000000040,P00040,2023-01-04,41.45,63.47,Annual Review
PH000000041,P00041,2023-01-01,38.34,60.04,Annual Review
PH000000042,P00042,2023-01-10,20.94,34.86,Annual Review
PH000000043,P00043,2023-01-06,11.52,14.97,Promotion End
PH000000044,P00044,2023-01-20,19.19,33.9,Promotion End
PH000000045,P00045,2023-01-17,38.91,65.75,Market Adjustment
PH000000046,P00046,2023-01-04,43.92,62.4,Promotion End
PH000000047,P00047,2023-01-21,20.0,27.39,Annual Review
PH000000048,P00048,2023-01-20,8.23,14.37,Promotion End
PH000000049,P00049,2023-01-09,10.81,16.06,Cost Increase
PH000000050,P00050,2023-01-14,35.33,44.66,Market Adjustment
PH000000051,P00051,2023-01-19,20.41,36.85,Annual Review
PH000000052,P00052,2023-01-01,20.87,31.16,Promotion End
PH000000053,P00053,2023-01-07,14.35,21.63,Annual Review
PH000000054,P00054,2023-01-12,14.1,19.66,Cost Increase
PH000000055,P00055,2023-01-11,48.81,61.34,Market Adjustment
PH000000056,P00056,2023-01-06,37.13,64.49,Annual Review
PH000000057,P00057,2023-01-16,17.85,26.45,Promotion End
PH000000058,P00058,2023-01-19,28.96,50.79,Annual Review
PH000000059,P00059,2023-01-05,31.29,51.35,Market Adjustment
PH000000060,P00060,2023-01-01,85.53,131.54,Market Adjustment
PH000000061,P00061,2023-01-01,13.08,20.74,Market Adjustment
PH000000062,P00062,2023-01-15,31.65,51.56,Promotion End
PH000000063,P00063,2023-01-08,48.91,68.24,Annual Review
PH000000064,P00064,2023-01-08,75.79,97.43,Annual Review
PH000000065,P00065,2023-01-06,17.21,26.03,Market Adjustment
PH000000066,P00066,2023-01-09,20.61,24.11,Annual Review
PH000000067,P00067,2023-01-08,42.39,59.93,Cost Increase
PH000000068,P00068,2023-01-11,9.79,17.8,Promotion End
