ProductID,ProductName,CategoryID,CategoryName,SupplierID,StandardCost,ListPrice,WeightLbs,Status
P00001,Cement Premium 0001,C01,Cement,S0109,33.56,38.44,3.54,Active
P00002,Drywall Premium 0002,C02,Drywall,S0015,45.85,71.78,21.04,Active
P00003,Lumber Commercial 0003,C03,Lumber,S0232,6.92,9.28,2.8,Active
P00004,Roofing Pro 0004,C04,Roofing,S0135,29.65,39.9,6.79,Active
P00005,Insulation Premium 0005,C05,Insulation,S0103,26.8,49.33,4.19,Active
P00006,Steel Premium 0006,C06,Steel,S0080,50.18,68.69,18.17,Active
P00007,Paint Premium 0007,C07,Paint,S0078,28.4,33.81,24.89,Active
P00008,Flooring Premium 0008,C08,Flooring,S0211,37.61,57.45,4.16,Active
P00009,Plumbing Pro 0009,C09,Plumbing,S0085,35.1,48.72,3.81,Active
P00010,Electrical Premium 0010,C10,Electrical,S0045,50.14,65.02,8.63,Active
P00011,Tools Pro 0011,C11,Tools,S0094,23.82,40.62,4.89,Active
P00012,Fasteners Pro 0012,C12,Fasteners,S0247,63.8,115.97,7.85,Active
P00013,Doors Commercial 0013,C13,Doors,S0135,20.09,27.96,6.57,Active
P00014,Windows Commercial 0014,C14,,S0200,39.35,55.85,12.54,Active
P00015,Concrete Accessories Premium 0015,C15,Concrete Accessories,S0043,36.19,46.73,13.3,Active
P00016,Cement Premium 0016,C01,Cement,S0187,121.41,140.89,6.26,Active
P00017,Drywall Commercial 0017,C02,Drywall,S0164,18.94,23.52,4.34,Active
P00018,Lumber Pro 0018,C03,Lumber,S0195,41.73,55.35,24.93,Active
P00019,Roofing Standard 0019,C04,Roofing,S0115,25.03,39.88,4.24,Active
P00020,Insulation Standard 0020,C05,Insulation,S0158,15.22,26.24,16.21,Active
P00021,Steel Premium 0021,C06,Steel,S0243,45.62,65.63,14.71,Active
P00022,Paint Standard 0022,C07,Paint,S0249,17.02,25.36,11.12,Active
P00023,Flooring Pro 0023,C08,Flooring,S0220,29.42,40.16,10.99,Active
P00024,Plumbing Premium 0024,C09,Plumbing,S0175,49.9,67.54,11.04,Active
P00025,Electrical Pro 0025,C10,Electrical,S0092,43.61,66.85,9.59,Active
P00026,Tools Standard 0026,C11,Tools,S0028,33.19,45.6,15.93,Active
