SupplierID,SupplierName,RegionID,LeadTimeDays,SupplierRating,Status
S0001,Evergreen Builders,R01,4,4.4,Active
S0002,Skyline Supply,R02,11,4.4,Active
S0003,Evergreen LLC,R03,8,4.1,Active
S0004,Build Construction,R04,8,3.3,Active
S0005,Metro Inc,R05,4,4.0,Active
S0006,Cornerstone LLC,R01,29,3.3,Active
S0007,Atlas Development,R02,3,4.5,Active
S0008,Dream Homes,R03,24,3.4,Active
S0009,Skyline Materials,R04,9,3.0,Active
S0010,Prime Materials,R05,25,4.1,Active
S0011,Build Group,R01,37,3.1,Active
S0012,Summit Builders,R02,38,3.4,Active
S0013,Evergreen Inc,R03,26,4.1,Active
S0014,Cornerstone Builders,R04,5,4.3,Active
S0015,Home Builders,R05,17,4.7,Active
S0016,Summit Development,R01,32,4.2,Active
S0017,Urban Contracting,R02,26,3.6,Active
S0018,Evergreen Development,R03,44,3.0,Active
S0019,Evergreen Contracting,R04,37,4.4,Active
S0020,Dream Group,R05,27,3.4,Active
S0021,Evergreen LLC,R01,17,4.3,Active
S0022,Build Supply,R02,5,4.6,Active
S0023,Summit Development,R03,7,3.3,Active
S0024,Atlas Materials,R04,16,4.2,Active
S0025,Summit Group,R05,12,3.4,Active
S0026,Skyline LLC,R01,37,3.4,Active
S0027,Atlas Homes,R02,40,3.7,Active
S0028,Skyline Contracting,R03,35,3.9,Active
S0029,Build Builders,R04,12,4.2,Active
S0030,Evergreen Homes,R05,41,2.9,Active
S0031,Summit Inc,R01,32,4.0,Active
S0032,Metro Construction,R02,10,4.3,Active
S0033,Metro Development,R03,44,3.5,Active
S0034,Home Homes,R04,13,3.8,Active
S0035,Cornerstone Development,R05,35,4.5,Active
S0036,Metro Builders,R01,43,3.5,Active
S0037,Evergreen LLC,R02,41,3.2,Active
S0038,Urban Contracting,R03,37,4.9,Active
S0039,Metro Construction,R04,41,3.5,Active
S0040,Build Builders,R05,26,4.7,Active
S0041,Home Supply,R01,6,3.3,Active
S0042,Atlas Builders,R02,8,4.4,Active
S0043,Prime LLC,R03,11,3.1,Active
S0044,Pioneer LLC,R04,13,3.4,Active
S0045,Atlas Homes,R05,16,4.8,Active
S0046,Cornerstone Supply,R01,22,3.7,Active
S0047,Evergreen Materials,R02,31,4.8,Active
S0048,Pioneer Builders,R03,18,3.3,Active
S0049,Urban Construction,R04,40,4.0,Active
S0050,Atlas Supply,R05,3,3.0,Active
S0051,Evergreen Construction,R01,17,2.9,Active
S0052,Build Materials,R02,7,3.9,Active
S0053,Home Group,R03,16,4.0,Active
S0054,Cornerstone Inc,R04,39,3.8,Active
S0055,Pioneer Homes,R05,15,3.0,Active
S0056,Evergreen Homes,R01,25,3.7,Active
S0057,Pioneer Construction,R02,44,5.0,Active
S0058,Prime Construction,R03,28,4.4,Active
S0059,Prime Supply,R04,15,3.2,Active
S0060,Pioneer Contracting,R05,30,3.2,Active
S0061,Pioneer Supply,R01,7,3.8,Active
S0062,Metro Builders,R02,6,4.2,Active
S0063,Metro Construction,R03,8,4.8,Active
S0064,Skyline Contracting,R04,29,3.9,Active
S0065,Skyline Homes,R05,6,3.2,Active
S0066,Build Homes,R01,19,4.8,Active
S0067,Pioneer Development,R02,30,4.3,Active
S0068,Cornerstone LLC,R03,45,4.4,Active
S0069,Dream Supply,R04,21,3.3,Active
S0070,Build Inc,R05,37,2.9,Active
S0071,Urban Construction,R01,6,4.1,Active
S0072,Metro LLC,R02,13,2.9,Active
S0073,Metro Builders,R03,14,3.0,Active
S0074,Prime Supply,R04,28,3.1,Active
S0075,Atlas Supply,R05,40,4.1,Active
S0076,Atlas Builders,R01,29,4.2,Active
S0077,Atlas LLC,R02,23,4.9,Active
S0078,Skyline Materials,R03,18,3.4,Active
S0079,Dream Development,R04,32,3.5,Active
S0080,Prime Construction,R05,32,4.2,Active
S0081,Atlas Builders,R01,7,4.0,Active
S0082,Metro Development,R02,11,4.9,Active
S0083,Prime Supply,R03,26,3.4,Active
S0084,Pioneer LLC,R04,22,4.1,Active
S0085,Evergreen LLC,R05,3,4.3,Active
S0086,Metro Development,R01,45,3.0,Active
S0087,Dream Development,R02,10,4.8,Active
S0088,Cornerstone LLC,R03,12,3.4,Active
S0089,Atlas Supply,R04,24,3.2,Active
S0090,Evergreen Development,R05,35,3.9,Active
S0091,Build Builders,R01,43,3.7,Active
S0092,Home Construction,R02,3,3.5,Active
S0093,Dream Development,R03,13,4.4,Active
S0094,Metro Homes,R04,38,2.8,Active
S0095,Prime Contracting,R05,37,2.9,Active
S0096,Urban Inc,R01,38,3.1,Active
S0097,Dream Construction,R02,22,3.6,Active
S0098,Build Materials,R03,16,4.3,Active
S0099,Evergreen Builders,R04,25,4.5,Active
S0100,Summit Inc,R05,12,4.8,Active
S0101,Skyline Contracting,R01,14,4.7,Active
S0102,Build Contracting,R02,24,4.5,Active
S0103,Summit Supply,R03,20,3.2,Active
S0104,Cornerstone Builders,R04,27,4.7,Active
S0105,Pioneer Supply,R05,15,4.6,Active
S0106,Pioneer Materials,R01,22,4.6,Active
S0107,Skyline Supply,R02,4,4.3,Active
S0108,Summit Materials,R03,20,4.7,Active
S0109,Home Materials,R04,44,3.9,Active
S0110,Evergreen LLC,R05,24,4.9,Active
S0111,Prime Development,R01,14,4.1,Active
S0112,Home Construction,R02,9,4.1,Active
S0113,Urban Materials,R03,30,4.1,Active
S0114,Metro Builders,R04,27,4.8,Active
S0115,Skyline Development,R05,5,4.4,Active
S0116,Build LLC,R01,37,4.3,Active
S0117,Cornerstone Supply,R02,26,3.7,Active
S0118,Evergreen Materials,R03,42,3.5,Active
S0119,Prime Development,R04,35,3.5,Active
S0120,Summit Materials,R05,28,4.3,Active
S0121,Metro Contracting,R01,15,3.7,Active
S0122,Summit Contracting,R02,42,4.1,Active
S0123,Summit LLC,R03,3,3.5,Active
S0124,Skyline Homes,R04,40,4.1,Active
S0125,Urban Group,R05,31,3.8,Active
S0126,Skyline LLC,R01,33,4.5,Active
S0127,Cornerstone Contracting,R02,45,3.0,Active
S0128,Metro Inc,R03,24,3.0,Active
S0129,Skyline Development,R04,17,4.6,Active
S0130,Dream Construction,R05,5,3.3,Active
S0131,Pioneer Inc,R01,7,3.8,Active
S0132,Evergreen Inc,R02,15,4.4,Active
S0133,Summit Group,R03,28,3.3,Active
S0134,Evergreen Construction,R04,9,4.5,Active
S0135,Skyline Contracting,R05,36,3.8,Active
S0136,Metro Supply,R01,10,3.8,Active
S0137,Pioneer LLC,R02,38,4.1,Active
S0138,Pioneer Inc,R03,35,3.7,Active
S0139,Metro Group,R04,13,4.4,Active
S0140,Pioneer Group,R05,19,4.5,Active
S0141,Evergreen Development,R01,36,3.9,Active
S0142,Skyline Development,R02,31,3.0,Active
S0143,Home Supply,R03,20,3.5,Active
S0144,Metro Builders,R04,11,3.1,Active
S0145,Summit Contracting,R05,16,2.9,Active
S0146,Summit Materials,R01,37,3.8,Active
S0147,Build Supply,R02,29,3.7,Active
S0148,Atlas Construction,R03,39,3.6,Active
S0149,Build Materials,R04,22,4.5,Active
S0150,Summit LLC,R05,37,4.6,Active
S0151,Skyline Group,R01,17,3.4,Active
S0152,Pioneer Construction,R02,27,3.5,Active
S0153,Evergreen Homes,R03,13,4.6,Active
S0154,Dream Inc,R04,37,2.9,Active
S0155,Summit Inc,R05,39,4.3,Active
S0156,Prime Homes,R01,11,4.7,Active
S0157,Dream Construction,R02,19,3.6,Active
