WarehouseID,WarehouseName,RegionID,City,State,CapacityUnits,EmployeeCount,Status
W001,MA Metro Distribution Center,R01,MA Metro,MA,346200,113,Active
W002,FL Metro Distribution Center,R02,FL Metro,FL,236529,195,Active
W003,WI Heights Distribution Center,R03,WI Heights,WI,336712,83,Active
W004,OK Heights Distribution Center,R04,OK Heights,OK,333934,133,Active
W005,OR Heights Distribution Center,R05,OR Heights,OR,277766,161,Active
W006,PA City Distribution Center,R01,PA City,PA,205202,191,Active
W007,SC City Distribution Center,R02,SC City,SC,295364,56,Active
W008,MI Heights Distribution Center,R03,MI Heights,MI,327975,142,Active
W009,OK Heights Distribution Center,R04,OK Heights,OK,159746,171,Active
W010,CA City Distribution Center,R05,CA City,CA,343345,196,Active
W011,PA City Distribution Center,R01,PA City,PA,310847,70,Active
W012,TN Metro Distribution Center,R02,TN Metro,TN,88046,81,Active
W013,IN Heights Distribution Center,R03,IN Heights,IN,160929,64,Active
W014,OK Metro Distribution Center,R04,OK Metro,OK,257503,204,Active
W015,CO Heights Distribution Center,R05,CO Heights,CO,122108,129,Active
W016,CT Metro Distribution Center,R01,CT Metro,CT,246021,205,Active
W017,SC Heights Distribution Center,R02,SC Heights,SC,98821,203,Active
W018,IL City Distribution Center,R03,IL City,IL,230669,103,Active
W019,TX Metro Distribution Center,R04,TX Metro,TX,131612,207,Active
W020,CA Metro Distribution Center,R05,CA Metro,CA,167223,121,Active
W021,NJ City Distribution Center,R01,NJ City,NJ,250065,59,Active
W022,NC Metro Distribution Center,R02,NC Metro,NC,276524,155,Active
W023,OH City Distribution Center,R03,OH City,OH,296033,189,Active
W024,AZ City Distribution Center,R04,AZ City,AZ,171786,65,Active
W025,UT Metro Distribution Center,R05,UT Metro,UT,206264,172,Active
W026,CT City Distribution Center,R01,CT City,CT,201733,163,Active
W027,NC Metro Distribution Center,R02,NC Metro,NC,213864,215,Active
W028,IL Metro Distribution Center,R03,IL Metro,IL,230801,218,Active
W029,NV City Distribution Center,R04,NV City,NV,118724,158,Active
W030,OR Heights Distribution Center,R05,OR Heights,OR,236842,208,Active
W031,MA Heights Distribution Center,R01,MA Heights,MA,211123,161,Active
W032,NC City Distribution Center,R02,NC City,NC,281690,168,Active
W033,IL City Distribution Center,R03,IL City,IL,279944,191,Active
W034,NM Heights Distribution Center,R04,NM Heights,NM,235122,120,Active
W035,CA Heights Distribution Center,R05,CA Heights,CA,287516,115,Active
W036,NJ Heights Distribution Center,R01,NJ Heights,NJ,105713,200,Active
W037,SC Metro Distribution Center,R02,SC Metro,SC,200648,200,Active
W038,MI City Distribution Center,R03,MI City,MI,179683,203,Active
W039,NM Heights Distribution Center,R04,NM Heights,NM,151711,205,Active
W040,CA Heights Distribution Center,R05,CA Heights,CA,100668,124,Active
